time_stamp;pm2_5_atm
31/03/2021;14.10
31/03/2021;12.90
31/03/2021;9.50
31/03/2021;6.30
31/03/2021;6.60
31/03/2021;5.80
31/03/2021;8.80
31/03/2021;7.40
31/03/2021;6.60
31/03/2021;5.80
31/03/2021;6.40
31/03/2021;5.20
31/03/2021;4.30
31/03/2021;4.10
31/03/2021;5.60
31/03/2021;3.10
31/03/2021;2.90
31/03/2021;3.10
1/04/2021;5.40
1/04/2021;32.50
1/04/2021;10.00
1/04/2021;14.20
1/04/2021;13.10
1/04/2021;9.30
1/04/2021;7.10
1/04/2021;6.80
1/04/2021;8.00
1/04/2021;9.40
1/04/2021;13.50
1/04/2021;15.30
1/04/2021;14.20
1/04/2021;14.00
1/04/2021;10.30
1/04/2021;6.80
1/04/2021;9.80
1/04/2021;7.70
1/04/2021;8.80
1/04/2021;12.70
1/04/2021;14.60
1/04/2021;23.50
1/04/2021;11.10
1/04/2021;15.40
2/04/2021;20.90
2/04/2021;19.20
2/04/2021;36.80
2/04/2021;18.80
2/04/2021;24.20
2/04/2021;17.90
2/04/2021;13.50
2/04/2021;13.70
2/04/2021;12.50
2/04/2021;10.50
2/04/2021;9.80
2/04/2021;10.00
2/04/2021;10.90
2/04/2021;11.30
2/04/2021;9.00
2/04/2021;8.50
2/04/2021;8.40
2/04/2021;9.30
2/04/2021;8.00
2/04/2021;7.60
2/04/2021;12.50
2/04/2021;11.10
2/04/2021;23.80
2/04/2021;41.70
3/04/2021;26.70
3/04/2021;11.00
3/04/2021;9.70
3/04/2021;13.50
3/04/2021;11.60
3/04/2021;9.80
3/04/2021;7.80
3/04/2021;6.20
3/04/2021;5.60
3/04/2021;5.50
3/04/2021;4.40
3/04/2021;5.30
3/04/2021;15.70
3/04/2021;6.40
3/04/2021;9.90
3/04/2021;6.00
3/04/2021;5.50
3/04/2021;4.90
3/04/2021;3.90
3/04/2021;5.70
3/04/2021;4.50
3/04/2021;5.90
3/04/2021;9.00
3/04/2021;13.90
4/04/2021;9.60
4/04/2021;9.50
4/04/2021;10.70
4/04/2021;15.70
4/04/2021;13.90
4/04/2021;11.40
4/04/2021;12.30
4/04/2021;13.90
4/04/2021;11.40
